Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-01,2010,1,1,,-3.0,,-6.5,,-4.8,,22.8,,0.0,,0.0,,4.0,,4.0,,26.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-02,2010,1,2,,-8.0,,-14.5,,-11.3,,29.3,,0.0,,0.0,,10.0,,10.0,,27.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-03,2010,1,3,,-5.0,,-14.5,,-9.8,,27.8,,0.0,,0.0,,5.0,,5.0,,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-04,2010,1,4,,-7.0,,-10.0,,-8.5,,26.5,,0.0,,0.0,,0.0,T,0.0,T,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-05,2010,1,5,,-5.5,,-10.0,,-7.8,,25.8,,0.0,,0.0,,0.0,,0.0,,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-06,2010,1,6,,-5.0,,-8.0,,-6.5,,24.5,,0.0,,0.0,,0.0,,0.0,,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-07,2010,1,7,,-6.0,,-9.5,,-7.8,,25.8,,0.0,,,M,,M,,M,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-08,2010,1,8,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-09,2010,1,9,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-10,2010,1,10,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-11,2010,1,11,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-12,2010,1,12,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-13,2010,1,13,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-14,2010,1,14,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-15,2010,1,15,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-16,2010,1,16,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-17,2010,1,17,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-18,2010,1,18,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-19,2010,1,19,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-20,2010,1,20,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-21,2010,1,21,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-22,2010,1,22,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-23,2010,1,23,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-24,2010,1,24,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-25,2010,1,25,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-26,2010,1,26,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-27,2010,1,27,,,M,,M,,M,,M,,M,0.0,,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-28,2010,1,28,,-4.0,,-10.0,,-7.0,,25.0,,0.0,,0.0,,2.0,,2.0,,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-29,2010,1,29,,-16.0,,-20.0,,-18.0,,36.0,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-30,2010,1,30,,-13.0,,-22.5,,-17.8,,35.8,,0.0,,0.0,,0.0,T,0.0,T,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-31,2010,1,31,,-8.0,,-18.0,,-13.0,,31.0,,0.0,,0.0,,0.0,T,0.0,T,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-01,2010,2,1,,-6.0,,-16.0,,-11.0,,29.0,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-02,2010,2,2,,-10.0,,-14.5,,-12.3,,30.3,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-03,2010,2,3,,-6.0,,-15.0,,-10.5,,28.5,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-04,2010,2,4,,-7.5,,-17.0,,-12.3,,30.3,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-05,2010,2,5,,-5.5,,-14.0,,-9.8,,27.8,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-06,2010,2,6,,-10.0,,-19.5,,-14.8,,32.8,,0.0,,0.0,,0.0,,0.0,,10.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-07,2010,2,7,,-3.0,,-16.0,,-9.5,,27.5,,0.0,,0.0,,0.0,T,0.0,T,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-08,2010,2,8,,-6.0,,-11.0,,-8.5,,26.5,,0.0,,0.0,,0.0,T,0.0,T,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-09,2010,2,9,,-4.0,,-11.0,,-7.5,,25.5,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-10,2010,2,10,,0.0,,-9.0,,-4.5,,22.5,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-11,2010,2,11,,-4.5,,-12.0,,-8.3,,26.3,,0.0,,0.0,,0.0,,0.0,,10.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-12,2010,2,12,,-8.0,,-15.5,,-11.8,,29.8,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-13,2010,2,13,,-4.5,,-12.0,,-8.3,,26.3,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-14,2010,2,14,,-3.0,,-7.0,,-5.0,,23.0,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-15,2010,2,15,,-1.0,,-7.0,,-4.0,,22.0,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-16,2010,2,16,,0.0,E,-9.0,,-4.5,E,22.5,E,0.0,E,0.0,,1.0,,1.0,,6.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-17,2010,2,17,,-1.0,,-4.5,,-2.8,,20.8,,0.0,,0.0,,0.0,T,0.0,T,6.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-18,2010,2,18,,0.0,,-2.0,,-1.0,,19.0,,0.0,,0.0,,0.8,,0.8,,6.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-19,2010,2,19,,-0.5,,-5.5,,-3.0,,21.0,,0.0,,0.0,,0.0,T,0.0,T,12.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-20,2010,2,20,,0.5,,-3.0,,-1.3,,19.3,,0.0,,0.0,,1.0,,1.0,,10.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-21,2010,2,21,,-2.0,,-6.5,,-4.3,,22.3,,0.0,,0.0,,0.0,T,0.0,T,10.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-22,2010,2,22,,0.5,,-12.0,,-5.8,,23.8,,0.0,,0.0,,3.0,,3.0,,10.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-23,2010,2,23,,3.0,,-5.5,,-1.3,,19.3,,0.0,,6.0,,2.0,,8.0,,10.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-24,2010,2,24,,1.0,,-0.5,,0.3,,17.7,,0.0,,9.0,,10.0,,19.0,,10.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-25,2010,2,25,,2.5,,-0.5,,1.0,,17.0,,0.0,,0.0,,5.0,,5.0,,15.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-26,2010,2,26,,3.5,,0.0,,1.8,,16.2,,0.0,,4.0,,3.0,,7.0,,18.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-27,2010,2,27,,4.0,,0.0,,2.0,,16.0,,0.0,,5.0,,0.0,T,5.0,,13.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-02-28,2010,2,28,,3.0,,-1.5,,0.8,,17.2,,0.0,,0.0,,0.0,,0.0,,12.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-01,2010,3,1,,5.5,,-0.5,,2.5,,15.5,,0.0,,0.0,,0.0,,0.0,,8.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-02,2010,3,2,,4.0,,-3.0,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,5.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-03,2010,3,3,,2.0,,-4.0,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,4.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-04,2010,3,4,,4.5,,-4.5,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,4.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-05,2010,3,5,,2.5,,-6.5,,-2.0,,20.0,,0.0,,0.0,,0.0,,0.0,,4.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-06,2010,3,6,,5.5,,-6.0,,-0.3,,18.3,,0.0,,0.0,,0.0,,0.0,,3.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-07,2010,3,7,,7.0,,-3.0,,2.0,,16.0,,0.0,,0.0,,0.0,,0.0,,3.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-08,2010,3,8,,9.0,,0.0,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-09,2010,3,9,,5.5,,-3.0,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-10,2010,3,10,,8.0,,-4.5,,1.8,,16.2,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-11,2010,3,11,,8.0,,-2.5,,2.8,,15.2,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-12,2010,3,12,,8.0,,-1.0,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-13,2010,3,13,,9.0,,-0.5,,4.3,,13.7,,0.0,,1.6,,0.0,,1.6,,0.0,T,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-14,2010,3,14,,8.0,,0.0,,4.0,,14.0,,0.0,,14.2,,0.0,,14.2,,0.0,T,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-15,2010,3,15,,10.0,,1.5,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-16,2010,3,16,,14.0,,-1.5,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-17,2010,3,17,,14.0,,-1.0,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-18,2010,3,18,,14.5,,3.5,,9.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-19,2010,3,19,,15.0,,1.0,,8.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-20,2010,3,20,,7.5,,3.5,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-21,2010,3,21,,2.0,,-0.5,,0.8,,17.2,,0.0,,0.0,T,0.0,T,0.0,T,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-22,2010,3,22,,6.0,,-0.5,,2.8,,15.2,,0.0,,8.4,,0.0,,8.4,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-23,2010,3,23,,1.0,,-0.5,,0.3,,17.7,,0.0,,2.0,,3.0,,5.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-24,2010,3,24,,10.0,,-2.0,,4.0,,14.0,,0.0,,0.0,,0.0,,0.0,,3.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-25,2010,3,25,,13.0,,-1.0,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-26,2010,3,26,,-2.0,,-10.0,,-6.0,,24.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-27,2010,3,27,,1.5,,-9.0,,-3.8,,21.8,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-28,2010,3,28,,10.0,,-2.0,,4.0,,14.0,,0.0,,16.0,,0.0,,16.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-29,2010,3,29,,5.5,,2.5,,4.0,,14.0,,0.0,,5.8,,0.0,,5.8,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-30,2010,3,30,,6.5,,-1.0,,2.8,,15.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-03-31,2010,3,31,,13.0,,2.5,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-01,2010,4,1,,13.0,,0.5,,6.8,,11.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-02,2010,4,2,,25.0,,3.5,,14.3,,3.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-03,2010,4,3,,25.0,,6.5,,15.8,,2.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-04,2010,4,4,,17.0,,9.5,,13.3,,4.7,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-05,2010,4,5,,19.0,,4.0,,11.5,,6.5,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-06,2010,4,6,,15.0,,7.0,,11.0,,7.0,,0.0,,14.8,,0.0,,14.8,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-07,2010,4,7,,13.0,,9.0,,11.0,,7.0,,0.0,,1.2,,0.0,,1.2,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-08,2010,4,8,,9.0,,2.0,,5.5,,12.5,,0.0,,9.8,,0.0,,9.8,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-09,2010,4,9,,8.5,,3.5,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-10,2010,4,10,,11.5,,0.5,,6.0,,12.0,,0.0,,0.8,,0.0,,0.8,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-11,2010,4,11,,12.0,,3.5,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-12,2010,4,12,,13.5,,0.3,E,6.9,E,11.1,E,0.0,E,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-13,2010,4,13,,14.0,,-0.5,,6.8,,11.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-14,2010,4,14,,17.0,,0.0,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-15,2010,4,15,,12.0,,1.5,,6.8,,11.2,,0.0,,8.0,,0.0,,8.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-16,2010,4,16,,9.5,,3.5,,6.5,,11.5,,0.0,,14.8,,0.0,,14.8,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-17,2010,4,17,,8.0,,4.0,,6.0,,12.0,,0.0,,1.4,,0.0,,1.4,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-18,2010,4,18,,11.0,,1.5,,6.3,,11.7,,0.0,,2.6,,0.0,,2.6,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-19,2010,4,19,,17.0,,2.5,,9.8,,8.2,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-20,2010,4,20,,20.0,,5.0,,12.5,,5.5,,0.0,,0.0,T,0.0,,0.0,T,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-21,2010,4,21,,19.0,,4.5,,11.8,,6.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-22,2010,4,22,,11.5,,3.0,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-23,2010,4,23,,15.0,,-1.0,,7.0,,11.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-24,2010,4,24,,18.5,,-0.5,,9.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-25,2010,4,25,,17.5,,3.5,,10.5,,7.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-26,2010,4,26,,18.0,,1.5,,9.8,,8.2,,0.0,,2.6,,0.0,T,2.6,,0.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-27,2010,4,27,,3.0,,0.0,,1.5,,16.5,,0.0,,27.0,,12.0,,39.0,,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-28,2010,4,28,,13.5,,-0.5,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,4.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-04-29,2010,4,29,,14.0,,3.0,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
